Facility_ID,Unit_ID,Similar_Facility_Unit_ID,CF,Estimated_NameplateCapacity_MW,mean_CO2_tons_MW,mean_NOx_lbs_MW,mean_SO2_lbs_MW,mean_Heat_Input_mmBtu,Ramp,Retirement_year,Commercial_Operation_Date,Facility_Unit.ID
NGCC3000,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2033-01-01,NGCC3000_1
NGCC3000,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2033-01-01,NGCC3000_2
NGCC3001,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2034-01-01,NGCC3001_1
NGCC3001,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2034-01-01,NGCC3001_2
NGCC3002,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2035-01-01,NGCC3002_1
NGCC3002,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2035-01-01,NGCC3002_2
NGCC3003,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2036-01-01,NGCC3003_1
NGCC3003,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2036-01-01,NGCC3003_2
NGCC3004,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2037-01-01,NGCC3004_1
NGCC3004,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2037-01-01,NGCC3004_2
NGCC3005,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2038-01-01,NGCC3005_1
NGCC3005,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2038-01-01,NGCC3005_2
NGCC3006,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2039-01-01,NGCC3006_1
NGCC3006,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2039-01-01,NGCC3006_2
NGCC3007,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2040-01-01,NGCC3007_1
NGCC3007,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2040-01-01,NGCC3007_2
NGCC3008,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2041-01-01,NGCC3008_1
NGCC3008,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2041-01-01,NGCC3008_2
NGCC3009,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2042-01-01,NGCC3009_1
NGCC3009,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2042-01-01,NGCC3009_2
NGCC3010,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2043-01-01,NGCC3010_1
NGCC3010,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2043-01-01,NGCC3010_2
NGCC3011,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2044-01-01,NGCC3011_1
NGCC3011,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2044-01-01,NGCC3011_2
NGCC3012,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2045-01-01,NGCC3012_1
NGCC3012,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2045-01-01,NGCC3012_2
NGCC3013,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2046-01-01,NGCC3013_1
NGCC3013,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2046-01-01,NGCC3013_2
NGCC3014,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2047-01-01,NGCC3014_1
NGCC3014,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2047-01-01,NGCC3014_2
NGCC3015,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2048-01-01,NGCC3015_1
NGCC3015,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2048-01-01,NGCC3015_2
NGCC3016,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2049-01-01,NGCC3016_1
NGCC3016,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2049-01-01,NGCC3016_2
NGCC3017,1,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2050-01-01,NGCC3017_1
NGCC3017,2,56047_1,0.85,565.5,0.384142394233294,0.0385471115421012,0.00391840309429873,2317.35549906806,1,2100,2050-01-01,NGCC3017_2
