"Simulation","Pathway","NPV","Technology"
"1","B3",11514596.493247,"Coal"
"1","B3",628690569.139133,"Gas"
"1","B3",83880969.8890234,"Gas"
"1","B3",25989024.3209446,"Wood"
"2","C2",12764002.4156069,"Coal"
"2","C2",730712962.934237,"Gas"
"2","C2",90730027.1344942,"Gas"
"2","C2",28472235.6402826,"Wood"
"3","B1",11216915.1100128,"Coal"
"3","B1",610192219.106169,"Gas"
"3","B1",82293658.2333952,"Gas"
"3","B1",25296378.5541415,"Wood"
"4","B3",11530760.6473946,"Coal"
"4","B3",628015172.441794,"Gas"
"4","B3",84439924.2401395,"Gas"
"4","B3",26020789.7547715,"Wood"
"5","A",66446184.6750151,"Coal"
"5","A",2853337391.17284,"Gas"
"5","A",524730213.832326,"Gas"
"5","A",120497101.457647,"Wood"
"6","B2",12095277.2031551,"Coal"
"6","B2",723555391.805186,"Gas"
"6","B2",88802966.4680641,"Gas"
"6","B2",27742904.4237561,"Wood"
"7","B1",11233634.1224462,"Coal"
"7","B1",610337102.31991,"Gas"
"7","B1",82416336.3859434,"Gas"
"7","B1",25373178.3508259,"Wood"
"8","B1",11162097.7124335,"Coal"
"8","B1",610832240.699857,"Gas"
"8","B1",82378145.6100338,"Gas"
"8","B1",25345264.2582698,"Wood"
"9","B2",12122230.8460772,"Coal"
"9","B2",723684842.750993,"Gas"
"9","B2",88474039.1711864,"Gas"
"9","B2",27765038.1007367,"Wood"
"10","C2",12732029.6650843,"Coal"
"10","C2",731066228.179594,"Gas"
"10","C2",90661144.6072535,"Gas"
"10","C2",28454456.2523265,"Wood"
"91","C2",12682804.4521391,"Coal"
"91","C2",729961560.401373,"Gas"
"91","C2",90396862.1240288,"Gas"
"91","C2",28526403.8756893,"Wood"
"92","C1",15390780.9174795,"Coal"
"92","C1",691050967.661346,"Gas"
"92","C1",92278991.3589579,"Gas"
"92","C1",25603103.1876139,"Wood"
"93","A",66415264.8115783,"Coal"
"93","A",2852883708.16277,"Gas"
"93","A",524643150.65966,"Gas"
"93","A",120584982.557375,"Wood"
"94","D",34594853.0255743,"Coal"
"94","D",11256701852.6544,"Gas"
"94","D",255076401.391998,"Gas"
"94","D",62625509.745821,"Wood"
"95","A",66489041.1449127,"Coal"
"95","A",2852609755.81543,"Gas"
"95","A",524795225.796167,"Gas"
"95","A",120617754.495455,"Wood"
"96","C2",12702548.2857554,"Coal"
"96","C2",729367701.683421,"Gas"
"96","C2",90492146.7514136,"Gas"
"96","C2",28459020.2134386,"Wood"
"11","C2",12663338.8239281,"Coal"
"11","C2",730187047.645812,"Gas"
"11","C2",90633693.1100405,"Gas"
"11","C2",28452606.3021819,"Wood"
"12","C1",15363977.5149576,"Coal"
"12","C1",690740501.277066,"Gas"
"12","C1",92533112.0021128,"Gas"
"12","C1",25527553.1432987,"Wood"
"13","A",66486610.9497059,"Coal"
"13","A",2853331765.65012,"Gas"
"13","A",523976313.045601,"Gas"
"13","A",120615678.828515,"Wood"
"14","A",66407501.1451435,"Coal"
"14","A",2853700159.62562,"Gas"
"14","A",523955268.905645,"Gas"
"14","A",120521058.573044,"Wood"
"15","B3",11419834.7684176,"Coal"
"15","B3",627972044.218253,"Gas"
"15","B3",84318067.7387664,"Gas"
"15","B3",26012960.1255904,"Wood"
"16","B2",12136616.6286904,"Coal"
"16","B2",724606034.954853,"Gas"
"16","B2",88696465.5919581,"Gas"
"16","B2",27843577.4686059,"Wood"
"17","D",34680109.5324755,"Coal"
"17","D",11241117655.8663,"Gas"
"17","D",254926596.825164,"Gas"
"17","D",62675295.8674266,"Wood"
"18","C3",11514596.493247,"Coal"
"18","C3",581879094.195349,"Gas"
"18","C3",81392424.6157984,"Gas"
"18","C3",24738018.5588475,"Wood"
"19","C1",15301714.9125042,"Coal"
"19","C1",690962735.373332,"Gas"
"19","C1",92241433.8147295,"Gas"
"19","C1",25538509.9759085,"Wood"
"20","C3",11530760.6473946,"Coal"
"20","C3",581063605.44013,"Gas"
"20","C3",81940011.1372092,"Gas"
"20","C3",24745941.7317969,"Wood"
"21","D",34801850.8388196,"Coal"
"21","D",11243284698.2487,"Gas"
"21","D",254981606.148022,"Gas"
"21","D",62788316.7547417,"Wood"
"22","C1",15402746.6138783,"Coal"
"22","C1",690676768.799086,"Gas"
"22","C1",92405393.4366535,"Gas"
"22","C1",25576285.8953851,"Wood"
"23","D",34705192.7341036,"Coal"
"23","D",11242301110.9584,"Gas"
"23","D",255249885.50388,"Gas"
"23","D",62758019.3019557,"Wood"
"24","C3",11419834.7684176,"Coal"
"24","C3",581385535.249486,"Gas"
"24","C3",81841121.5637493,"Gas"
"24","C3",24756707.1537428,"Wood"
"25","D",34735591.7674944,"Coal"
"25","D",11243807573.9589,"Gas"
"25","D",255347669.724176,"Gas"
"25","D",62700174.8814852,"Wood"
"26","D",34525096.8299813,"Coal"
"26","D",11247148278.5461,"Gas"
"26","D",255101385.016536,"Gas"
"26","D",62553841.3488574,"Wood"
"27","C2",12671479.6228532,"Coal"
"27","C2",730558820.648233,"Gas"
"27","C2",91008697.2500287,"Gas"
"27","C2",28388927.9167037,"Wood"
"28","B2",12059187.0563863,"Coal"
"28","B2",723660788.163773,"Gas"
"28","B2",88999381.2289135,"Gas"
"28","B2",27755063.3685801,"Wood"
"29","C3",11494485.9849762,"Coal"
"29","C3",581066981.409546,"Gas"
"29","C3",81396007.8750484,"Gas"
"29","C3",24863870.7424988,"Wood"
"30","D",34517190.0653922,"Coal"
"30","D",11242757535.8192,"Gas"
"30","D",255460623.020246,"Gas"
"30","D",62835786.5725485,"Wood"
"31","C1",15325814.3317943,"Coal"
"31","C1",690908740.010076,"Gas"
"31","C1",92414727.1579271,"Gas"
"31","C1",25576441.9885897,"Wood"
"32","C2",12682845.776262,"Coal"
"32","C2",730860228.92073,"Gas"
"32","C2",90598234.4562183,"Gas"
"32","C2",28459670.0280415,"Wood"
"33","B3",11530225.3411188,"Coal"
"33","B3",628421568.188154,"Gas"
"33","B3",83984644.9918356,"Gas"
"33","B3",26029039.4860023,"Wood"
"34","B3",11494485.9849762,"Coal"
"34","B3",627992167.095778,"Gas"
"34","B3",83883840.3743186,"Gas"
"34","B3",26067662.9374976,"Wood"
"35","A",66563726.3157246,"Coal"
"35","A",2853217002.22668,"Gas"
"35","A",524458944.685435,"Gas"
"35","A",120560963.064357,"Wood"
"36","C2",12676625.0848697,"Coal"
"36","C2",730857497.05162,"Gas"
"36","C2",90779944.2844449,"Gas"
"36","C2",28491500.8722019,"Wood"
"37","C1",15451216.0610209,"Coal"
"37","C1",690672911.749266,"Gas"
"37","C1",92291800.6360677,"Gas"
"37","C1",25582430.2872729,"Wood"
"38","C3",11457801.6682477,"Coal"
"38","C3",581067158.217727,"Gas"
"38","C3",81725477.0326468,"Gas"
"38","C3",24895331.3263072,"Wood"
"39","B1",11189204.9626737,"Coal"
"39","B1",609989603.476622,"Gas"
"39","B1",82445115.1950925,"Gas"
"39","B1",25374744.1335674,"Wood"
"40","B1",11206094.0251113,"Coal"
"40","B1",610280524.072723,"Gas"
"40","B1",82185750.3675783,"Gas"
"40","B1",25461786.2150186,"Wood"
"41","B2",12082793.1748641,"Coal"
"41","B2",724244526.087188,"Gas"
"41","B2",88837446.5741431,"Gas"
"41","B2",27782016.9525885,"Wood"
"42","B1",11236754.7427425,"Coal"
"42","B1",610651041.932204,"Gas"
"42","B1",82475693.9548862,"Gas"
"42","B1",25316228.7223702,"Wood"
"43","C1",15441925.6496068,"Coal"
"43","C1",690644341.00414,"Gas"
"43","C1",92484230.6937015,"Gas"
"43","C1",25617131.0362481,"Wood"
"44","A",66588546.9104281,"Coal"
"44","A",2853071464.0593,"Gas"
"44","A",524997315.074354,"Gas"
"44","A",120525946.427489,"Wood"
"45","A",66575905.8595359,"Coal"
"45","A",2852944320.49535,"Gas"
"45","A",524762952.720828,"Gas"
"45","A",120518751.837962,"Wood"
"46","C3",11530225.3411188,"Coal"
"46","C3",581771425.910833,"Gas"
"46","C3",81497570.8485501,"Gas"
"46","C3",24754647.9957516,"Wood"
"47","B3",11457801.6682477,"Coal"
"47","B3",628002818.261532,"Gas"
"47","B3",84276045.4995915,"Gas"
"47","B3",26119451.1140856,"Wood"
"48","B2",12142125.9711778,"Coal"
"48","B2",724146386.295335,"Gas"
"48","B2",88772882.913012,"Gas"
"48","B2",27802991.8956013,"Wood"
"49","C1",15406159.36121,"Coal"
"49","C1",690701200.440138,"Gas"
"49","C1",92514070.3549629,"Gas"
"49","C1",25604143.0588418,"Wood"
"50","B3",11477570.8637573,"Coal"
"50","B3",626911013.438004,"Gas"
"50","B3",84048242.0793217,"Gas"
"50","B3",26058123.4506591,"Wood"
"51","C1",15391462.6393347,"Coal"
"51","C1",690995659.761253,"Gas"
"51","C1",92176813.0556652,"Gas"
"51","C1",25508003.6928557,"Wood"
"52","C2",12722389.8846557,"Coal"
"52","C2",730048267.60462,"Gas"
"52","C2",90624923.3270852,"Gas"
"52","C2",28510748.1656834,"Wood"
"53","C2",12642829.7239272,"Coal"
"53","C2",729506021.230206,"Gas"
"53","C2",90301036.1259326,"Gas"
"53","C2",28454465.5266994,"Wood"
"54","B2",12163046.4828314,"Coal"
"54","B2",723459666.249798,"Gas"
"54","B2",88491536.9412055,"Gas"
"54","B2",27755881.971763,"Wood"
"55","D",34700034.2781201,"Coal"
"55","D",11252970515.4698,"Gas"
"55","D",254966684.183301,"Gas"
"55","D",62620958.439672,"Wood"
"56","A",66445066.1248732,"Coal"
"56","A",2853481209.05647,"Gas"
"56","A",524076484.204147,"Gas"
"56","A",120546131.877448,"Wood"
"57","D",34608438.1479293,"Coal"
"57","D",11250885633.6667,"Gas"
"57","D",255111124.790988,"Gas"
"57","D",62761580.4290484,"Wood"
"58","B2",12034259.2759048,"Coal"
"58","B2",724013882.270644,"Gas"
"58","B2",88570015.2837466,"Gas"
"58","B2",27815502.0455907,"Wood"
"59","B3",11429639.9718011,"Coal"
"59","B3",627897043.616563,"Gas"
"59","B3",84067808.391876,"Gas"
"59","B3",25981547.7407279,"Wood"
"60","B1",11176648.729341,"Coal"
"60","B1",609830421.778785,"Gas"
"60","B1",82238945.8170962,"Gas"
"60","B1",25362272.5219887,"Wood"
"61","B2",12001278.5643577,"Coal"
"61","B2",723163452.121268,"Gas"
"61","B2",88335344.3398045,"Gas"
"61","B2",27815521.6617908,"Wood"
"62","B1",11204134.7984654,"Coal"
"62","B1",609472602.789295,"Gas"
"62","B1",82600052.1267667,"Gas"
"62","B1",25383116.6525877,"Wood"
"63","C3",11466730.3058765,"Coal"
"63","C3",580303610.445002,"Gas"
"63","C3",81654210.6056348,"Gas"
"63","C3",24796615.7531617,"Wood"
"64","B3",11466730.3058765,"Coal"
"64","B3",627090558.715387,"Gas"
"64","B3",84227536.6490119,"Gas"
"64","B3",26109663.0120888,"Wood"
"65","A",66491252.689244,"Coal"
"65","A",2853427634.39481,"Gas"
"65","A",524362272.375317,"Gas"
"65","A",120471714.917468,"Wood"
"66","C1",15397914.1218021,"Coal"
"66","C1",690886325.809645,"Gas"
"66","C1",92214598.5276927,"Gas"
"66","C1",25613393.3073316,"Wood"
"67","C3",11429639.9718011,"Coal"
"67","C3",580911551.298822,"Gas"
"67","C3",81534357.2295449,"Gas"
"67","C3",24772631.1991503,"Wood"
"68","C2",12665348.3517778,"Coal"
"68","C2",730509631.903354,"Gas"
"68","C2",90754080.1607263,"Gas"
"68","C2",28429944.8194362,"Wood"
"69","C3",11477570.8637573,"Coal"
"69","C3",580404158.790652,"Gas"
"69","C3",81548304.57584,"Gas"
"69","C3",24773152.315021,"Wood"
"70","D",34641318.7024058,"Coal"
"70","D",11256158884.777,"Gas"
"70","D",254672313.448121,"Gas"
"70","D",62707610.6684626,"Wood"
"71","A",66511196.2473989,"Coal"
"71","A",2853177252.08759,"Gas"
"71","A",523964678.572806,"Gas"
"71","A",120597537.30598,"Wood"
"72","B1",11235866.7881638,"Coal"
"72","B1",609312484.352868,"Gas"
"72","B1",82173275.5228005,"Gas"
"72","B1",25227637.2727594,"Wood"
"73","D",34559442.4904286,"Coal"
"73","D",11255360343.6125,"Gas"
"73","D",254775867.344771,"Gas"
"73","D",62647771.53376,"Wood"
"74","C2",12742097.7737054,"Coal"
"74","C2",730188846.314129,"Gas"
"74","C2",90637783.0440172,"Gas"
"74","C2",28483403.7080394,"Wood"
"75","B3",11430632.7178121,"Coal"
"75","B3",627999932.565614,"Gas"
"75","B3",83726144.5884875,"Gas"
"75","B3",26084908.1659271,"Wood"
"76","C1",15463238.5001451,"Coal"
"76","C1",690711279.816905,"Gas"
"76","C1",92538798.6761161,"Gas"
"76","C1",25578746.5903577,"Wood"
"77","C3",11358263.7463994,"Coal"
"77","C3",580453554.962905,"Gas"
"77","C3",81828192.8648615,"Gas"
"77","C3",24752248.0535619,"Wood"
"78","C1",15434697.6345216,"Coal"
"78","C1",690688340.556211,"Gas"
"78","C1",92375221.3619405,"Gas"
"78","C1",25539442.0498911,"Wood"
"79","A",66479727.7172546,"Coal"
"79","A",2852718897.8317,"Gas"
"79","A",524553914.786755,"Gas"
"79","A",120608649.506379,"Wood"
"80","C3",11430632.7178121,"Coal"
"80","C3",581302260.97831,"Gas"
"80","C3",81190302.8720395,"Gas"
"80","C3",24813733.594427,"Wood"
"81","B2",12172310.0160064,"Coal"
"81","B2",723007081.344383,"Gas"
"81","B2",88108985.5914325,"Gas"
"81","B2",27751045.7412804,"Wood"
"82","B2",12129322.8782312,"Coal"
"82","B2",722433469.792539,"Gas"
"82","B2",88021007.69875,"Gas"
"82","B2",27771267.8708309,"Wood"
"83","B2",12107849.9361543,"Coal"
"83","B2",722754447.573703,"Gas"
"83","B2",88487376.1533221,"Gas"
"83","B2",27808079.6345956,"Wood"
"84","B3",11553418.0740746,"Coal"
"84","B3",627486589.46978,"Gas"
"84","B3",83853305.4880686,"Gas"
"84","B3",26059907.6066531,"Wood"
"85","B1",11157165.7888516,"Coal"
"85","B1",609748858.409017,"Gas"
"85","B1",82204420.7928141,"Gas"
"85","B1",25461198.4320318,"Wood"
"86","B3",11358263.7463994,"Coal"
"86","B3",627174464.667849,"Gas"
"86","B3",84352441.2426696,"Gas"
"86","B3",26058528.4357976,"Wood"
"87","D",34596693.5016857,"Coal"
"87","D",11253716917.7152,"Gas"
"87","D",254779002.094014,"Gas"
"87","D",62684452.4167727,"Wood"
"88","B1",11103675.935679,"Coal"
"88","B1",609156228.029746,"Gas"
"88","B1",82270476.8421846,"Gas"
"88","B1",25403277.1244318,"Wood"
"89","B1",11227672.5807775,"Coal"
"89","B1",609500469.371608,"Gas"
"89","B1",82048232.5909184,"Gas"
"89","B1",25360488.5346173,"Wood"
"90","C3",11553418.0740746,"Coal"
"90","C3",580494178.347262,"Gas"
"90","C3",81354353.5746016,"Gas"
"90","C3",24834480.9451764,"Wood"
