County,State,Simulation,Pathway,npv_NOx_USD,npv_SO2_USD,npv_PM2.5_USD,npv_PM10_USD,npv_CO_USD,npv_VOC_USD,npv_total_air_emission_USD,mortality_person
Suffolk,MA,1,B2,7745.64088367558,25396.0928568946,2715877.3585962,186477.261078704,570306.33483026,152055.831166327,3657858.51941206,0.356223735603198
Suffolk,MA,1,B3,7715.23871437857,24985.5827934796,2749788.04958783,188805.633071419,577427.231445781,153954.414063612,3702676.1496765,0.360582816047471
Suffolk,MA,1,C1,7847.89886879429,29281.0241324093,2496168.67277367,171391.648380579,524169.768705422,139754.838733268,3368613.85159414,0.328103677884225
Norfolk,MA,1,B2,240435.311216618,511128.908693514,54087685.0426867,304.950552812671,20282888.5194881,1182880.11542967,76305322.8480674,9.15309061342328
Norfolk,MA,1,B3,164308.599934946,363692.045926558,45833865.131454,330.871025059316,17077638.1534687,1001344.53386343,64441179.3356726,7.58097978259705
Norfolk,MA,1,C1,230002.729848122,466765.550568036,46358531.7674461,374.789593348269,16849630.888392,1000537.90667951,64905843.6325271,7.13865222418663
Middlesex,MA,1,B2,37858.375343781,119228.03174766,6888368.95534434,2169.54739178686,2688141.37958229,149313.43388773,9885079.72329758,0.96147708696465
Middlesex,MA,1,B3,38139.982329396,118538.893932907,6899203.7649602,2204.27962110993,2692321.13747613,149563.500672945,9899971.55899269,0.962907954637255
Middlesex,MA,1,C1,39145.1197494721,122546.409471462,6733516.48619748,2211.0656866592,2627571.51327595,146000.673212244,9670991.26759326,0.941471524056869
Essex,MA,1,B2,73451.7262204804,133905.555497173,14676196.4572409,0,5509274.04497191,319430.340127144,20712258.1240576,2.47031123982834
Essex,MA,1,B3,66436.6575246025,119885.900868867,13247631.8487904,0,4972595.76639014,288313.477239794,18694863.6508138,2.17558361202626
Essex,MA,1,C1,63436.1420335634,109580.595231194,10221677.3343237,0,3833923.51909801,222292.716559388,14450910.3072458,1.53789308151299
Bristol,MA,1,B2,164128.532268847,242303.565147891,12039462.6806042,0,4789480.51894669,252788.31701565,17488163.6139832,2.08001225232426
Bristol,MA,1,B3,147575.210054322,218031.423265397,11123242.7662562,0,4425416.82092954,233573.070363287,16147839.2908688,1.8718912643508
Bristol,MA,1,C1,169643.892455163,252702.949032321,8424283.6657411,0,3358001.50666459,177234.993659071,12381867.0075523,1.31108914705372
Rockingham,NH,1,B2,804321.67428068,29162570.5815226,13120961.045766,87366.3815624451,6714827.0709583,304331.227468223,50194377.9815582,5.24449913658878
Rockingham,NH,1,B3,763698.918600532,28257316.2416857,10422760.6660872,87387.0160064366,5501655.13365303,245166.619024157,45277984.5950571,4.62373129563236
Rockingham,NH,1,C1,875254.060374066,31831806.3978306,10410767.4000025,85824.7596092511,5463861.72114716,244509.428945204,48912023.7679088,4.82049556654642
Providence,RI,1,B2,620230.812019456,622600.768780834,60413237.3818775,0,24262430.3997076,1329978.68335455,87248478.0457399,10.4754565369909
Providence,RI,1,B3,476821.902842514,494484.108037192,51503791.6100293,0,20684327.0351579,1133839.99801709,74293264.654084,8.80058400436782
Providence,RI,1,C1,573962.898896895,551602.56865572,51618593.730389,0,20730432.4679351,1136367.33109009,74610958.9969668,8.28256669711668
Berkshire,MA,1,B2,16731.8798193933,7324.49034016139,345777.243787978,0,180803.959103259,7926.92733416049,558564.500384952,0.0668780890092504
Berkshire,MA,1,B3,10528.0814344621,4608.3573579483,217203.68202828,0,113573.944925648,4979.38437269173,350893.45011903,0.041658015516672
Berkshire,MA,1,C1,17499.8923121441,8023.90214152815,350757.065134742,0,183407.865031996,8041.0895083986,567729.814128809,0.0596108884608772
Litchfield,CT,1,B2,18517.6695270675,251.467583075556,21240.8157488254,1288.31639131481,6344.11755351326,1206.57815123693,48848.9649550335,0.0047262453396748
Litchfield,CT,1,B3,17815.9416826204,241.842129796431,20427.7786284926,1239.00335827228,6101.28304434208,1160.39382210671,46986.2426656305,0.0045412634704481
Litchfield,CT,1,C1,23185.5740518459,314.233770853852,26542.5131427769,1609.87954289935,7927.60624331291,1507.7394774146,61087.5462291035,0.00595302680764889
New London,CT,1,B2,32850.9236364829,991322.722202777,69497.9086624963,4859.24087561651,84025.7947758983,4062.59521960997,1186619.18537288,0.109020933206267
New London,CT,1,B3,31252.145577584,943077.350624073,65598.2462407134,4586.57944729847,79310.9444925712,3834.63512386428,1127659.9015061,0.103473846019538
New London,CT,1,C1,37486.7943329041,1131216.62623453,82290.9312110944,5753.71927485471,99493.0787261566,4810.42883432626,1361051.57861386,0.125138985860615
Worcester,MA,1,B2,68843.5306665552,349286.285185878,31822386.6184047,0,14408487.5606971,699607.981462973,47348611.9764171,5.62811698753672
Worcester,MA,1,B3,50957.8912550047,255849.214914646,23228412.3951145,0,10517322.1312125,510671.399452385,34563213.0319491,3.97797349323479
Worcester,MA,1,C1,64683.3650147174,323950.237628775,25296498.1832863,0,11453706.5925871,556137.798346498,37694976.1768633,3.91110482143377
Hampden,MA,1,B2,163949.321678269,100283.432097782,8304592.335175,6278.09843077709,3626693.8546642,189000.917018622,12390797.9590646,1.48345204823687
Hampden,MA,1,B3,148522.718738354,89487.0941494067,7599215.82018341,5967.33583134393,3318267.67564707,173058.641019558,11334519.2855691,1.3250256889951
Hampden,MA,1,C1,197787.488275313,80797.5543150068,5983551.65331455,8734.58335238627,2605850.77413682,138280.274835268,9015002.32822935,0.956934177354148
Fairfield,CT,1,B2,680417.775452585,578808.084444812,41254873.5055033,30636.320816141,15396318.7357875,921145.271997224,58862199.6940016,6.94906707549893
Fairfield,CT,1,B3,583201.922189091,500623.459250005,35714718.6885594,27682.9807722464,13331180.3119804,798226.097613243,50955633.4603644,5.84697587925826
Fairfield,CT,1,C1,568638.283809808,526548.290119983,32120506.309399,32324.2311099676,12127364.7072859,725753.88824903,46101135.7099738,4.85594596349305
Newport,RI,1,B2,98674.7676891247,122970.95057368,8498379.89115746,0,3620539.78800639,190739.600340031,12531304.9977667,1.53788567277383
Newport,RI,1,B3,90679.6658644831,113007.233381692,7824733.1404343,0,3333548.04425154,175620.117138652,11537588.2010707,1.38130243819209
Newport,RI,1,C1,73376.4040348614,91443.7854431206,5777689.02710585,0,2461451.86179899,129675.786447934,8533636.86483076,0.923704554154228
Penobscot,ME,1,B2,7921.60366658045,3413.0640815001,144188.309220641,0,166520.039604864,3887.35480925815,325930.371382844,0.0401956601898589
Penobscot,ME,1,B3,4734.81397279107,2032.41751933616,84208.3831326379,0,97250.4870200743,2270.28019761016,190496.38184245,0.0230685025043718
Penobscot,ME,1,C1,8015.40849437536,3455.80031324625,129848.382458456,0,149959.160395746,3500.7466052734,294779.498267098,0.0307459038659817
Oxford,ME,1,B2,83348.0175138937,28332.1061795663,1239158.96431765,0,1130496.51865203,29507.6544038459,2510843.26106699,0.301267318194978
Oxford,ME,1,B3,74012.3387557725,25162.5084017841,1115668.62842606,0,1017835.10971852,26567.0226861788,2259245.60798832,0.264322078432298
Oxford,ME,1,C1,66544.3303488969,22661.5373827973,880930.814221023,0,803681.567359325,20977.2940907919,1794795.54340283,0.191245004969374
New Haven,CT,1,B2,889539.415499146,5603798.53916053,96225486.5001085,120535.014145111,31820957.9837411,1909733.12469047,136570050.577345,16.4618810872716
New Haven,CT,1,B3,843237.808236131,5377595.37606519,89842060.0094429,117343.702961199,29342929.4115783,1765396.93804788,127288563.246332,15.0851193103039
New Haven,CT,1,C1,917118.56500978,6004181.83828246,77109781.7640108,129090.822597606,24550393.4894024,1498925.24196651,110209491.72127,12.2963761152793
Windham,CT,1,B2,138995.750543573,241245.014253061,18022220.346123,0,9813561.64545697,399845.661907667,28615868.4182843,3.38951854685307
Windham,CT,1,B3,103047.661019853,178891.470249605,13528792.2899146,0,7366774.71342874,300153.299875503,21477659.4344883,2.45946678085997
Windham,CT,1,C1,126621.985464761,219782.397939776,14021910.4388657,0,7635290.20487686,311093.74721658,22314698.7743637,2.31461021047943
Hillsborough,NH,1,B2,32407.7577878185,86718.4693928906,6833695.73202545,0,3841956.70758824,153904.903694384,10948683.5704888,1.33959186729818
Hillsborough,NH,1,B3,19830.3225583698,53061.2280023308,4134293.29688224,0,2324331.73585064,93110.3807737731,6624626.96406736,0.794594229767905
Hillsborough,NH,1,C1,31400.6508032933,84025.4487034292,5838803.92014391,0,3282620.81967771,131498.473192015,9368349.31252035,0.975568541661817
Cumberland,ME,1,B2,1178114.29393945,14090793.0491461,12537086.3642228,104270.636667585,7596588.86318268,376322.596192707,35883175.8033513,3.91234075363301
Cumberland,ME,1,B3,1120422.44161799,13622035.023904,11587932.4162314,107322.610187754,6958263.45671675,357247.401138742,33753223.3497966,3.62443318009955
Cumberland,ME,1,C1,1238978.15910503,15412389.8466377,9909463.6142315,135140.730219958,5699994.44406965,342800.736998277,32738767.5312621,3.36849478040353
Middlesex,CT,1,B2,220667.282155978,1023716.80802691,11534465.8120159,5316.24444242404,5378982.30107178,260461.984720119,18423610.4324331,2.15192949513747
Middlesex,CT,1,B3,197862.06840841,944861.242040689,9036083.80129184,4927.33717606806,4219877.15021346,204599.937016133,14608211.5361466,1.64605338414492
Middlesex,CT,1,C1,246854.416531155,1189260.7494811,8810821.11908703,6907.82641752302,4131200.42753308,201028.494980451,14586073.0340303,1.50207718189723
Coos,NH,1,B2,272552.127635536,282362.332855329,361380.264407745,0,25339147.0403894,269492.748632752,26524934.5139208,3.29274021322353
Coos,NH,1,B3,253409.826696139,262530.933205907,348484.375961761,0,24434917.2145444,259875.874758731,25559218.225167,3.12261969376222
Coos,NH,1,C1,188893.088381776,195692.027283286,241271.101716117,0,16917370.772864,179923.528678826,17723150.518924,1.93068360298022
Chittenden,VT,1,B2,58189.0377603154,8317.88653542618,94103.3105361504,0,3352253.40668392,47201.0473134888,3560064.6888293,0.341604332911976
Chittenden,VT,1,B3,57908.4307053841,8277.77453592853,94152.3743370346,0,3354001.21228951,47225.6571042998,3561565.44897215,0.341723130866797
Chittenden,VT,1,C1,59280.6857985292,8473.93267837379,95693.8731539025,0,3408914.20770702,47998.8536919025,3620361.55302973,0.347556911593538
Barnstable,MA,1,B2,523478.901193471,2614594.8722788,875919.529771735,20728.6049256276,564163.911488783,37086.1489753624,4635971.96863378,0.450997141227143
Barnstable,MA,1,B3,502905.241680701,2505767.47431264,875980.20120788,19346.4350441371,556957.46134438,35728.2557489795,4496685.06933872,0.437198460071161
Barnstable,MA,1,C1,602099.942454409,3028779.60924762,846258.691635969,22156.263049697,556211.878047783,37924.2779271096,5093430.66236259,0.496955886306419
Merrimack,NH,1,B2,3606288.36056829,12261353.8014282,532639.998470808,178262.707512649,757926.863411007,46247.8475630902,17382719.578954,1.69114992460371
Merrimack,NH,1,B3,3570880.15405491,12136180.994522,540822.249193838,181001.124025907,769569.901192533,46958.2926765778,17245412.7156658,1.67765467474679
Merrimack,NH,1,C1,3723153.44806243,12669033.2896899,501388.017184121,167803.367592076,713456.458972733,43534.313335956,17818368.8948372,1.73540346214571
