Facility,fips,NH3,PM2.5,NOx,SO2,VOC,PM10
TVA COLBERT,1033,931,859,186,961,162,119
TVA COLBERT,1033,931,859,186,961,163,119
TVA COLBERT,1033,931,859,186,961,162,119
TVA COLBERT,1033,931,859,186,961,163,119
TVA COLBERT,1033,939,868,186,963,164,121
ALABAMA POWER COMPANY GREENE COUNTY,1063,757,648,164,701,137,87
ALABAMA POWER COMPANY GREENE COUNTY,1063,757,648,164,701,137,87
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
WIDOWS CREEK,1071,1113,984,175,1042,173,135
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,929,782,172,774,153,107
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,927,779,172,773,152,106
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,931,783,173,775,153,107
ALABAMA POWER COMPANY (MILLER POWER PLAN,1073,931,783,173,775,153,107
BARRY,1097,540,494,154,515,120,65
BARRY,1097,540,494,154,515,120,65
BARRY,1097,540,494,154,515,120,65
BARRY,1097,553,500,154,516,120,66
BARRY,1097,518,484,154,514,118,64
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,946,784,166,786,152,107
E C GASTON,1117,919,763,165,782,150,104
GORGAS,1127,1021,818,172,786,156,109
GORGAS,1127,1021,818,172,786,156,109
GORGAS,1127,1021,818,172,786,156,109
NAVAJO,4005,319,504,253,578,125,90
NAVAJO,4005,319,504,253,578,125,90
NAVAJO,4005,319,504,253,578,125,90
SRP-KYRENE STEAM PLANT,4013,356,661,235,478,140,111
SRP-KYRENE STEAM PLANT,4013,356,661,235,478,140,111
CHOLLA,4017,353,557,268,608,131,96
FLINT CREEK,5007,501,803,319,972,165,118
INDEPENDENCE,5063,677,734,266,895,159,107
INDEPENDENCE,5063,677,734,266,895,159,107
WHITE BLUFF,5069,546,702,263,893,152,101
WHITE BLUFF,5069,546,702,263,893,153,101
NATURAL GAS PIPELINE COMPANY OF AMERICA,5121,777,799,261,920,168,116
Duke Energy MOSS LANDING,6053,70,59,70,70,70,11
Duke Energy MOSS LANDING,6053,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
Cabrillo Power Encina Plant,6073,70,59,70,70,70,11
TRI STATE GENERATION CRAIG,8081,417,531,298,578,131,104
PUBLIC SERVICE CO PAWNEE,8087,411,567,317,529,136,106
PUBLIC SERVICE CO COMANCHE,8101,476,576,298,531,134,108
PUBLIC SERVICE CO COMANCHE,8101,475,575,298,531,134,108
PUBLIC SERVICE CO HAYDEN,8107,454,550,309,589,134,107
MIDDLETOWN,9007,1093,748,97,513,146,114
NEW HAVEN HARBOR,9009,1312,882,101,555,160,129
CONN LIGHT & POWER CO,9011,3268,2589,139,1320,347,384
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4763,3876,227,1697,484,534
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"Motiva Enterprises LLC Formerly Delmarva Power, Delaware City",10003,4117,3493,225,1665,443,481
"DELMARVA POWER, INDIAN RIVER",10005,1622,2010,226,1719,284,280
BENNING,11001,2215,1869,183,1260,271,266
FLORIDA POWER CORPORATION,12017,809,744,136,640,143,88
FLORIDA POWER CORPORATION,12017,796,735,136,638,142,87
FLORIDA POWER CORPORATION,12017,787,729,136,635,142,87
FLORIDA POWER CORPORATION,12017,787,729,136,635,142,87
JACKSONVILLE ELECTRIC AUTHORITY,12031,623,561,135,594,125,75
GULF POWER CO,12033,823,687,156,625,139,88
GULF POWER CO,12033,823,687,156,625,139,88
Tampa Electric Company (Big Bend),12057,805,720,122,584,140,84
Tampa Electric Company (Big Bend),12057,805,720,122,584,140,84
FLORIDA POWER & LIGHT COMPANY,12071,994,764,113,550,145,89
FLORIDA POWER & LIGHT (Manatee),12081,997,812,118,580,150,92
FLORIDA POWER & LIGHT (Manatee),12081,997,812,118,580,150,92
FLORIDA POWER & LIGHT Martin,12085,860,798,130,613,148,94
FLORIDA POWER & LIGHT Martin,12085,860,798,130,613,148,94
"Progress Energy Florida, Inc. (Anclote)",12101,968,829,136,651,152,94
"Progress Energy Florida, Inc. (Anclote)",12101,968,829,136,651,152,94
"Progress Energy Florida, Inc. (Suwanee River)",12121,700,653,149,697,135,86
"Progress Energy Florida, Inc. (Suwanee River)",12121,700,653,149,697,135,86
"Progress Energy Florida, Inc. (Suwanee River)",12121,700,653,149,697,135,86
GA POWER CO:  BOWEN,13015,1101,1041,196,967,180,142
GA POWER CO:  BOWEN,13015,1101,1041,196,967,180,142
GA POWER CO:  BOWEN,13015,1046,1012,196,963,177,138
GA POWER CO:  BOWEN,13015,1046,1012,196,963,177,138
ARKWRIGHT,13021,947,854,168,851,158,117
ARKWRIGHT,13021,947,854,168,851,158,117
ARKWRIGHT,13021,947,854,168,851,158,117
ARKWRIGHT,13021,947,854,168,851,158,117
GA POWER CO:  MCDONOUGH,13067,1126,1042,193,937,179,142
GA POWER CO:  MCDONOUGH,13067,1126,1042,193,937,179,142
GA POWER CO: YATES,13077,1418,1156,190,970,191,159
GA POWER CO: YATES,13077,1418,1156,190,970,191,159
GA POWER CO: YATES,13077,1418,1156,190,970,191,159
GA POWER CO: YATES,13077,1355,1117,189,953,187,154
GA POWER CO: YATES,13077,1355,1117,189,953,187,154
GA POWER CO: HAMMOND,13115,1139,1085,196,975,185,149
GA POWER CO: HAMMOND,13115,1139,1085,196,975,185,149
GA POWER CO: HAMMOND,13115,1139,1085,196,975,185,149
GA POWER CO: HAMMOND,13115,1047,1026,195,967,178,141
Owens Corning Asphalt/Roofing,13121,1122,1019,191,941,177,139
GA POWER CO:  WANSLEY,13149,1143,1012,188,947,176,139
GA POWER CO:  WANSLEY,13149,1143,1012,188,947,176,139
GA POWER CO: SCHERER,13207,947,866,170,870,160,118
GA POWER CO: SCHERER,13207,947,866,170,870,160,118
GA POWER CO: SCHERER,13207,942,862,170,864,159,117
GA POWER CO: SCHERER,13207,948,868,170,871,160,118
GA POWER CO: HARLLEE BRANCH,13237,941,877,170,886,161,120
GA POWER CO: HARLLEE BRANCH,13237,941,877,170,886,161,120
GA POWER CO: HARLLEE BRANCH,13237,934,872,170,885,160,119
GA POWER CO: HARLLEE BRANCH,13237,934,872,170,885,160,119
"KINCAID GENERATION, LLC",17021,1546,1157,284,1106,218,170
"KINCAID GENERATION, LLC",17021,1546,1157,284,1106,218,170
"Midwest Generation, LLC (COM ED - COLLINS STATION)",17063,1706,1152,268,1047,214,171
"Midwest Generation, LLC (COM ED - COLLINS STATION)",17063,1706,1152,268,1047,213,171
"Midwest Generation, LLC (COM ED - COLLINS STATION)",17063,1706,1152,268,1047,213,171
"Midwest Generation, LLC (COM ED - COLLINS STATION)",17063,2262,1255,269,1051,225,186
"Midwest Generation, LLC (COM ED - COLLINS STATION)",17063,2262,1255,269,1051,225,186
AMEREN ENERGY GENERATING CO,17079,1045,898,249,918,187,132
AMEREN ENERGY GENERATING CO,17079,1044,896,249,918,187,132
"DYNEGY MIDWEST GENERATION, INC (ILLINOIS POWER CO - HAVANA POWER PLANT)",17125,1720,1198,297,1094,224,177
"ELECTRIC ENERGY,INC.-JOPPA STEAM ELE.STN",17127,893,862,242,945,180,126
"ELECTRIC ENERGY,INC.-JOPPA STEAM ELE.STN",17127,893,862,242,945,181,126
"ELECTRIC ENERGY,INC.-JOPPA STEAM ELE.STN",17127,894,862,242,945,181,126
"ELECTRIC ENERGY,INC.-JOPPA STEAM ELE.STN",17127,894,862,242,945,181,126
"ELECTRIC ENERGY,INC.-JOPPA STEAM ELE.STN",17127,894,863,242,945,180,126
"ELECTRIC ENERGY,INC.-JOPPA STEAM ELE.STN",17127,894,863,242,945,183,126
AMEREN ENERGY GENERATING CO,17135,1320,1129,289,1128,214,166
AMEREN ENERGY GENERATING CO,17135,1320,1129,289,1128,214,166
AES ED EDWARDS STATION,17143,1988,1240,290,1082,229,183
AES ED EDWARDS STATION,17143,2000,1277,294,1090,236,188
"DYNEGY MIDWEST GENERATION, INC (ILLINOIS POWER CO - BALDWIN POWER PLANT)",17157,1151,912,282,935,187,134
"DYNEGY MIDWEST GENERATION, INC (ILLINOIS POWER CO - BALDWIN POWER PLANT)",17157,1151,912,282,935,187,134
"DYNEGY MIDWEST GENERATION, INC (ILLINOIS POWER CO - BALDWIN POWER PLANT)",17157,1152,912,282,935,187,134
"Midwest Generation, LLC (COM ED - POWERTON STATION)",17179,1976,1228,289,1083,225,181
"Midwest Generation, LLC (COM ED - POWERTON STATION)",17179,1976,1228,289,1083,225,181
"Midwest Generation, LLC (COM ED - POWERTON STATION)",17179,1976,1228,289,1083,225,181
"Midwest Generation, LLC (COM ED - POWERTON STATION)",17179,1976,1228,289,1083,225,181
"Midwest Generation, LLC (COM ED - WILL COUNTY GENERATING STATION)",17197,2613,1325,271,1057,233,196
"Midwest Generation, LLC (JOLIET 29)",17197,2613,1325,271,1057,233,196
"Midwest Generation, LLC (JOLIET 29)",17197,2613,1325,271,1057,233,196
"Midwest Generation, LLC (JOLIET 29)",17197,2613,1325,271,1057,233,196
"Midwest Generation, LLC (JOLIET 29)",17197,3511,1476,270,1052,249,218
AMERICAN ELECTRIC POWER TANNERS CREEK,18029,1587,1304,236,1235,222,191
AMERICAN ELECTRIC POWER TANNERS CREEK,18029,1587,1304,236,1235,222,191
AMERICAN ELECTRIC POWER TANNERS CREEK,18029,1587,1304,236,1235,222,191
AMERICAN ELECTRIC POWER TANNERS CREEK,18029,1574,1298,236,1235,222,190
PSI ENERGY GIBSON,18051,1022,925,241,960,187,137
PSI ENERGY GIBSON,18051,1022,925,241,960,187,137
PSI ENERGY GIBSON,18051,1022,925,241,960,187,137
PSI ENERGY GIBSON,18051,1022,925,241,960,187,137
NIPSCO R M SCHAHFER,18073,1800,1294,263,1124,230,192
NIPSCO R M SCHAHFER,18073,1800,1292,263,1124,230,191
IKEC - CLIFTY CREEK,18077,1429,1234,242,1241,215,179
IKEC - CLIFTY CREEK,18077,1429,1234,242,1241,215,179
IKEC - CLIFTY CREEK,18077,1429,1234,242,1241,215,179
IKEC - CLIFTY CREEK,18077,1429,1233,242,1241,215,179
IKEC - CLIFTY CREEK,18077,1429,1233,242,1241,215,179
IKEC - CLIFTY CREEK,18077,1429,1233,242,1241,215,179
INDIANA HARBOR COKE COMPANY,18089,2352,1405,265,1143,240,208
NIPSCO - MICHIGAN CITY,18091,1864,1284,260,1115,226,189
INDIANA MICHIGAN POWER - ROCKPORT,18147,1146,988,231,1010,190,146
INDIANA MICHIGAN POWER - ROCKPORT,18147,1146,988,231,1010,190,146
BREED,18153,1193,1146,258,1131,215,169
HOOSIER ENERGY RURAL ELEC MEROM STATION,18153,1125,985,246,954,197,146
HOOSIER ENERGY RURAL ELEC MEROM STATION,18153,1125,985,246,954,197,146
PSI ENERGY - CAYUGA,18165,1376,1203,262,1132,223,178
PSI ENERGY - CAYUGA,18165,1376,1203,262,1132,223,178
PSI ENERGY WABASH RIVER,18167,1282,1173,257,1131,218,173
PSI ENERGY WABASH RIVER,18167,1282,1173,257,1131,218,173
PSI ENERGY WABASH RIVER,18167,1282,1173,257,1131,218,173
PSI ENERGY WABASH RIVER,18167,1282,1173,257,1131,218,173
PSI ENERGY WABASH RIVER,18167,1282,1173,257,1131,218,173
AGC DIVISION ALCOA POWER GENERATING,18173,1084,977,233,992,191,144
MIDAMERICAN ENERGY CO - LOUISA STATION,19115,997,968,307,1017,197,145
MIDAMERICAN ENERGY CO - COUNCIL BLUFFS ENERGY CTR,19155,346,656,314,397,160,105
IPL - OTTUMWA GENERATING STATION,19179,692,849,309,977,183,129
MIDAMERICAN ENERGY CO GEORGE NEAL NORTH,19193,296,593,294,373,155,97
MIDAMERICAN ENERGY CO GEORGE NEAL SOUTH,19193,297,595,295,373,155,97
KANSAS CITY POWER & LIGHT CO.,20107,342,730,304,366,159,109
KANSAS CITY POWER & LIGHT CO.,20107,342,684,298,363,154,103
"WESTAR ENERGY, INC (KPL GAS SERVICE (JEC))",20149,260,583,282,335,145,93
"WESTAR ENERGY, INC (KPL GAS SERVICE (JEC))",20149,260,582,282,335,145,93
"WESTAR ENERGY, INC (KPL GAS SERVICE (JEC))",20149,260,582,282,335,145,93
KPL GAS SERVICE (HEC),20155,275,548,284,836,137,88
CINCINNATI GAS & ELECTRIC,21015,1543,1346,241,1246,230,197
KENTUCKY UTILITIES CO - GHENT,21041,1405,1228,236,1235,213,178
KENTUCKY UTILITIES CO - GHENT,21041,1405,1228,236,1235,213,178
KENTUCKY UTILITIES CO - GHENT,21041,1373,1216,236,1233,211,177
KENTUCKY UTILITIES CO - GHENT,21041,1373,1216,236,1233,211,177
OWENSBORO MUNICIPAL UTIL - Elmer Smith,21059,1153,998,230,1011,191,148
OWENSBORO MUNICIPAL UTIL - Elmer Smith,21059,1153,998,230,1011,191,148
KENTUCKY POWER CO - Big Sandy,21127,1341,1109,177,1179,188,155
KENTUCKY POWER CO - Big Sandy,21127,1317,1100,177,1177,187,153
TVA-ENVIRONMENTAL AFFAIRS,21145,890,857,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,857,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,857,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,857,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,857,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,856,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,856,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,856,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,856,239,945,178,125
TVA-ENVIRONMENTAL AFFAIRS,21145,890,856,239,945,178,125
EAST KY POWER COOP,21161,1388,1110,186,1177,192,159
EAST KY POWER COOP,21161,1349,1095,185,1174,190,157
KENTUCKY UTILITIES CO,21167,1408,1086,183,1155,189,154
TVA - PARADISE,21177,1139,944,198,998,179,138
TVA - PARADISE,21177,1139,944,198,998,179,138
TVA - PARADISE,21177,1111,917,197,992,175,134
LOUISVILLE GAS & ELECTRIC TRIMBLE COUNTY,21223,1617,1296,240,1247,221,190
ENTERGY GIS/NELSON,22019,336,531,233,624,125,73
ENTERGY GIS/NELSON,22019,323,526,233,623,124,72
LA GENERATING LLC - BIG CAJUN 2,22077,397,462,171,487,116,62
LA GENERATING LLC - BIG CAJUN 2,22077,397,462,171,487,116,62
LA GENERATING LLC - BIG CAJUN 2,22077,399,463,171,487,116,62
FPL ENERGY WILLIAM F WYMAN,23005,422,467,94,406,115,71
CONSTELLATION POWER SOURCE GENERATION (B G E - WAGNER STATION),24003,1953,1839,191,1324,267,258
CONSTELLATION POWER SOURCE GENERATION (BALTO. GAS & ELEC. - BRANDON SHORES),24003,1980,1852,191,1326,268,260
CONSTELLATION POWER SOURCE GENERATION (BALTO. GAS & ELEC. - BRANDON SHORES),24003,1980,1852,191,1326,268,260
MIRANT MID-ATLANTIC LLC (POTOMAC ELECTRIC - MORGANTOWN),24017,1978,1683,171,1204,251,239
MIRANT MID-ATLANTIC LLC (POTOMAC ELECTRIC - MORGANTOWN),24017,1978,1683,171,1204,251,239
PEPCO (POTOMAC ELECTRIC - CHALK POINT),24033,1796,1623,176,1189,244,229
PEPCO (POTOMAC ELECTRIC - CHALK POINT),24033,1796,1623,176,1189,244,229
PEPCO (POTOMAC ELECTRIC - CHALK POINT),24033,1785,1617,176,1188,243,228
PEPCO (POTOMAC ELECTRIC - CHALK POINT),24033,1785,1617,176,1188,243,228
PEPCO (POTOMAC ELECTRIC - CHALK POINT),24033,1813,1631,176,1191,245,230
INDEPENDENT CEMENT/ST. LAWERENCE,24043,2426,2022,183,1313,286,280
MIRANT CANAL (COMM ELECTRIC CANAL),25001,1192,1153,103,738,190,171
USGEN NEW ENGLAND INCORPORATED (NEW ENGLAND POWER-BR),25005,2970,2100,114,972,294,317
USGEN NEW ENGLAND INCORPORATED (NEW ENGLAND POWER-BR),25005,2963,2095,114,971,294,317
USGEN NEW ENGLAND SALEM (SALEM HARBOR),25009,2360,1791,109,960,260,274
BOSTON EXELON MYSTIC LLC (BOSTON EDISON MYSTIC),25017,3256,2345,112,1142,321,362
KARN-WEADOCK FACILITY (DAN E KARN),26017,1029,844,187,949,164,124
KARN-WEADOCK FACILITY (DAN E KARN),26017,1029,844,187,949,164,124
DETROIT EDISON/MONROE POWER,26115,1370,1206,214,1211,205,174
DETROIT EDISON/MONROE POWER,26115,1370,1206,214,1211,205,174
DETROIT EDISON/MONROE POWER,26115,1351,1197,214,1205,204,173
DETROIT EDISON/MONROE POWER,26115,1351,1197,214,1205,204,173
B C COBB,26121,1449,1080,244,1052,196,160
B C COBB,26121,1449,1080,244,1052,196,160
B C COBB,26121,1449,1080,244,1052,196,160
B C COBB,26121,1449,1080,244,1052,196,160
B C COBB,26121,1449,1080,244,1052,196,160
J H CAMPBELL,26139,1448,1153,240,1151,204,170
J H CAMPBELL,26139,1448,1153,240,1151,204,170
J H CAMPBELL,26139,1448,1134,239,1149,202,168
ST CLAIR/ BELLE RIVER POWER PLANT,26147,1044,958,189,1043,175,138
ST CLAIR/ BELLE RIVER POWER PLANT,26147,1000,944,189,1041,173,136
ST CLAIR/ BELLE RIVER POWER PLANT,26147,1000,944,189,1041,173,136
DETROIT EDISON GREENWOOD ENERGY CENTER,26147,1115,931,187,1005,172,135
DETROIT EDISON TRENTON CHANNEL,26163,1432,1178,206,1149,202,170
DETROIT EDISON TRENTON CHANNEL,26163,1432,1178,206,1149,202,170
DETROIT EDISON TRENTON CHANNEL,26163,1432,1178,206,1149,202,170
DETROIT EDISON TRENTON CHANNEL,26163,1432,1178,206,1149,202,170
DETROIT EDISON TRENTON CHANNEL,26163,1414,1171,206,1148,201,169
NSP DBA XCEL ENERGY (NORTHERN STATES POWER - BLACK DOG),27037,623,856,324,1063,181,143
NSP DBA XCEL ENERGY (NORTHERN STATES POWER - BLACK DOG),27037,623,856,324,1063,181,143
NSP DBA XCEL ENERGY (NORTHERN STATES POWER - BLACK DOG),27037,623,856,324,1063,181,143
NSP DBA XCEL ENERGY (NORTHERN STATES POWER - BLACK DOG),27037,623,856,324,1063,181,143
"MINNESOTA POWER CO., BOSWELL ENERGY CENTER (MN POWER & LIGHT - CLAY BOSWELL)",27061,550,674,267,1042,150,106
NORTHERN STATES POWER - SHERBURNE CNTY,27141,570,760,306,1004,169,126
NORTHERN STATES POWER - SHERBURNE CNTY,27141,570,760,306,1004,169,126
NORTHERN STATES POWER - SHERBURNE CNTY,27141,577,804,320,1041,173,137
XCEL ENERGY ALLEN S KING GENERATING STATION (NORTHERN STATES POWER - AS KING),27163,655,802,307,1048,171,128
"MISSISSIPPI POWER COMPANY, PLANT DANIEL (VICTOR J DANIEL JR.)",28059,489,468,153,483,116,62
"MISSISSIPPI POWER COMPANY, PLANT DANIEL (VICTOR J DANIEL JR.)",28059,489,468,153,483,116,62
ENTERGY MISSISSIPPI. INC.-BAXTER  WILSON,28149,453,548,192,642,129,74
AMERENUE - LABADIE PLANT (UNION ELECTRIC COMPANY),29071,1159,914,281,880,186,136
AMERENUE - LABADIE PLANT (UNION ELECTRIC COMPANY),29071,1159,914,281,880,186,136
AMERENUE - LABADIE PLANT (UNION ELECTRIC COMPANY),29071,1159,914,281,880,186,136
AMERENUE - LABADIE PLANT (UNION ELECTRIC COMPANY),29071,1159,914,281,880,186,136
KANSAS CITY POWER & LIGHT CO HAWTHORN STN,29095,338,672,286,352,155,102
AQUILA INC - SIBLEY GENERATING STN (MISSOURI PUBLIC SERVICE CO),29095,359,737,292,358,163,110
AQUILA INC - SIBLEY GENERATING STN (MISSOURI PUBLIC SERVICE CO),29095,359,737,292,358,163,110
AQUILA INC - SIBLEY GENERATING STN (MISSOURI PUBLIC SERVICE CO),29095,359,737,292,358,163,110
AMERENUE - RUSH ISLAND PLANT (UNION ELECTRIC CO),29099,1156,916,276,917,186,133
AMERENUE - RUSH ISLAND PLANT (UNION ELECTRIC CO),29099,1156,916,276,917,186,133
ASSOCIATED ELECTRIC COOPERATIVE INC - NEW MADRID POWER PLANT,29143,903,849,247,942,175,123
ASSOCIATED ELECTRIC COOPERATIVE INC - NEW MADRID POWER PLANT,29143,903,849,247,942,175,123
KANSAS CITY POWER & LIGHT CO IATAN GENERATING STN,29165,301,628,286,346,150,97
AMERENUE SIOUX PLANT (UNION ELECTRIC CO),29183,1250,1108,301,1112,211,164
AMERENUE SIOUX PLANT (UNION ELECTRIC CO),29183,1250,1108,301,1112,211,164
AMERENUE MERAMEC PLANT,29189,1574,1010,274,904,197,148
COLSTRIP STEAM ELECTRIC STATION,30087,284,487,276,487,127,83
COLSTRIP STEAM ELECTRIC STATION,30087,284,487,276,487,127,83
NPPD GERALD GENTLEMAN STATION,31111,237,466,260,386,126,80
NPPD GERALD GENTLEMAN STATION,31111,237,466,260,386,126,80
OPPD NEBRASKA CITY STATION,31131,368,673,316,404,159,106
SOUTHERN CALIFORNIA EDISON MOHAVE,32003,437,400,163,391,111,75
SOUTHERN CALIFORNIA EDISON MOHAVE,32003,461,412,163,393,112,77
"PSNH, NEWINGTON",33015,790,725,98,484,144,109
HUDSON GENERATING STATION,34017,3983,3302,153,1191,421,452
SAN JUAN GENERATING STATION (PUBLIC SERV CO NM/SAN JUAN GEN______P060),35045,313,505,255,559,125,96
SAN JUAN GENERATING STATION (PUBLIC SERV CO NM/SAN JUAN GEN______P060),35045,313,505,255,559,125,96
CON EDISON 74TH STREET STATION,36061,4485,3419,141,1168,433,461
CON EDISON 74TH STREET STATION,36061,4485,3419,141,1168,433,461
CON EDISON 74TH STREET STATION,36061,4485,3419,141,1168,433,461
OSWEGO HARBOR POWER,36075,908,800,130,768,153,118
OSWEGO HARBOR POWER,36075,908,800,130,768,153,118
OSWEGO HARBOR POWER,36075,908,800,130,768,153,118
OSWEGO HARBOR POWER,36075,916,804,130,768,153,118
RAVENSWOOD GENERATING STATION,36081,4501,3342,140,1161,425,448
ARTHUR KILL,36085,3523,4684,242,1558,568,679
ARTHUR KILL,36085,3523,4684,242,1558,568,679
DUKE ENERGY CORP CLIFFSIDE,37045,1259,1242,179,1166,201,165
L V SUTTON (CP&L - SUTTON PLANT),37129,603,815,159,882,155,110
CP&L ROXBORO UNITS 1 2 3 4,37145,1189,1184,177,1171,195,163
CP&L ROXBORO UNITS 1 2 3 4,37145,1187,1182,177,1171,195,162
CP&L - MAYO FACILITY,37145,1189,1180,177,1165,195,162
DUKE ENERGY CORP BELEWS CREEK STEAM STATION,37169,1232,1255,189,1248,202,170
DUKE ENERGY CORP BELEWS CREEK STEAM STATION,37169,1232,1255,189,1248,202,170
COAL CREEK,38055,292,545,288,1033,137,88
COAL CREEK,38055,292,545,288,1033,137,88
LELAND OLDS,38057,287,539,287,1028,136,87
COYOTE,38057,280,533,285,1020,135,87
STANTON STATION (DAKOTA GASIFICATION COMPANY),38057,279,523,282,1014,134,84
STANTON STATION (DAKOTA GASIFICATION COMPANY),38057,279,523,282,1014,134,84
DP&L J M STUART GENERATING STATION,39001,1356,1095,184,1173,190,156
DP&L J M STUART GENERATING STATION,39001,1355,1093,184,1171,189,156
DP&L J M STUART GENERATING STATION,39001,1355,1093,184,1171,189,156
DP&L J M STUART GENERATING STATION,39001,1355,1093,184,1171,189,156
DP&L KILLEN STATION GENERATING STATION,39001,1323,1087,182,1175,188,155
"CLEVELAND ELECTRIC ILLUMINATING CO, ASHTABULA PLANT",39007,1438,1234,193,1178,202,174
"CLEVELAND ELECTRIC ILLUMINATING CO, ASHTABULA PLANT",39007,1438,1234,193,1178,202,174
"CLEVELAND ELECTRIC ILLUMINATING CO, ASHTABULA PLANT",39007,1438,1234,193,1178,202,174
"CLEVELAND ELECTRIC ILLUMINATING CO, ASHTABULA PLANT",39007,1438,1234,193,1178,202,174
OHIO EDISON COMPANY R E BURGER PLANT,39013,1922,1582,191,1338,241,217
OHIO EDISON COMPANY R E BURGER PLANT,39013,1922,1582,191,1338,240,217
OHIO EDISON COMPANY R E BURGER PLANT,39013,1922,1582,191,1338,241,217
OHIO EDISON COMPANY R E BURGER PLANT,39013,1922,1582,191,1338,240,217
